G1Q00004,G2Q00007,G1Q00008,region,postulacion_final,rango_etario,conteo
Mujer,Hasta dos años,Buenos Aires,BUENOS AIRES,Sí,31 a 40 años,1
Varón,Hasta dos años,Chaco,NEA,Sí,41 a 50 años,1
Varón,Hasta dos años,Chaco,NEA,Sí,51 a 60 años,1
Varón,Hasta dos años,Santa Fe,CENTRO,No,21 a 30 años,1
Mujer,Hasta dos años,Buenos Aires,BUENOS AIRES,No,31 a 40 años,1
Varón,Hasta dos años,Entre Ríos,CENTRO,Sí,31 a 40 años,1
Mujer,Hasta dos años,Santa Fe,CENTRO,Sí,31 a 40 años,1
Prefiero no decirlo,Hasta dos años,CABA,BUENOS AIRES,Sí,31 a 40 años,1
Mujer,Hasta dos años,Río Negro,PATAGONIA,Sí,51 a 60 años,1
Mujer,Hasta dos años,CABA,BUENOS AIRES,No,51 a 60 años,1
Mujer,Hasta dos años,Buenos Aires,BUENOS AIRES,No,31 a 40 años,1
Mujer,Hasta dos años,Río Negro,PATAGONIA,Sí,41 a 50 años,1
Mujer,Hasta dos años,Buenos Aires,BUENOS AIRES,No,31 a 40 años,1
Mujer,Hasta dos años,CABA,BUENOS AIRES,Sí,31 a 40 años,1
Mujer,Hasta dos años,Córdoba,CENTRO,Sí,51 a 60 años,1
Mujer,Hasta dos años,Santa Fe,CENTRO,Sí,41 a 50 años,1
Mujer Trans,Hasta dos años,CABA,BUENOS AIRES,Sí,31 a 40 años,1
Varón,Hasta dos años,Santa Fe,CENTRO,Sí,21 a 30 años,1
Mujer,Hasta dos años,Neuquén,PATAGONIA,Sí,41 a 50 años,1
Varón,Hasta dos años,Mendoza,CUYO,Sí,71 a 75 años,1
Mujer,Hasta dos años,CABA,BUENOS AIRES,Sí,61 a 70 años,1
Mujer,Hasta dos años,Salta,NOA,Sí,31 a 40 años,1
Varón,Hasta dos años,Buenos Aires,BUENOS AIRES,No,51 a 60 años,1
Varón,Hasta dos años,Mendoza,CUYO,Sí,21 a 30 años,1
Mujer,Hasta dos años,Catamarca,NOA,No,41 a 50 años,1
Varón,Hasta dos años,Buenos Aires,BUENOS AIRES,Sí,31 a 40 años,1
Mujer,Hasta dos años,Santa Fe,CENTRO,Sí,41 a 50 años,1
Mujer,Hasta dos años,Entre Ríos,CENTRO,Sí,41 a 50 años,1
Varón,Hasta dos años,Córdoba,CENTRO,Sí,31 a 40 años,1
Mujer,Hasta dos años,Buenos Aires,BUENOS AIRES,No,21 a 30 años,1
Varón,Hasta dos años,Buenos Aires,BUENOS AIRES,No,41 a 50 años,1
Mujer,Hasta dos años,Entre Ríos,CENTRO,Sí,31 a 40 años,1
Mujer,Hasta dos años,Salta,NOA,Sí,41 a 50 años,1
Mujer,Hasta dos años,Jujuy,NOA,Sí,31 a 40 años,1
Prefiero no decirlo,Hasta dos años,Jujuy,NOA,No,31 a 40 años,1
Mujer,Hasta dos años,Córdoba,CENTRO,Sí,21 a 30 años,1
Mujer,Hasta dos años,Santa Fe,CENTRO,Sí,51 a 60 años,1
Mujer,Hasta dos años,Salta,NOA,Sí,51 a 60 años,1
Mujer,Hasta dos años,Buenos Aires,BUENOS AIRES,No,21 a 30 años,1
Mujer,Hasta dos años,Misiones,NEA,No,21 a 30 años,1
Varón,Hasta dos años,Misiones,NEA,Sí,21 a 30 años,1
Mujer,Hasta dos años,Mendoza,CUYO,Sí,51 a 60 años,1
Mujer,Hasta dos años,Buenos Aires,BUENOS AIRES,Sí,41 a 50 años,1
Mujer,Hasta dos años,Tucumán,NOA,Sí,51 a 60 años,1
Mujer,Hasta dos años,Formosa,NEA,Sí,31 a 40 años,1
Mujer,Hasta dos años,Santa Fe,CENTRO,No,31 a 40 años,1
Mujer,Hasta dos años,Santa Fe,CENTRO,Sí,41 a 50 años,1
Mujer,Hasta dos años,Misiones,NEA,No,21 a 30 años,1
